iso1,iso2,dist
ABW,COL,21.10
ABW,GRD,19.24
ABW,HTI,27.46
ABW,JAM,34.66
ABW,PAN,28.44
ABW,TTO,20.88
ABW,VCT,23.71
ABW,VEN,21.10
AFG,AZE,26.42
AFG,IRN,32.20
AFG,NPL,24.41
AFG,PAK,8.25
AFG,TJK,15.81
AFG,TKM,15.26
AGO,BWA,13.00
AGO,COD,16.49
AGO,GAB,24.17
AGO,NAM,9.49
AGO,STP,36.80
AGO,ZMB,7.07
ALB,GRC,12.04
ALB,ITA,38.64
ALB,MKD,14.42
ALB,MLT,45.34
ALB,MNE,12.17
ALB,SMR,33.12
AND,CHE,48.17
AND,ESP,23.00
AND,FRA,46.69
AND,MAR,32.89
AND,MCO,27.66
ARE,BHR,17.00
ARE,IRN,21.38
ARE,IRQ,20.59
ARE,OMN,8.06
ARE,QAT,18.79
ARE,TUR,21.19
ARG,BOL,33.14
ARG,CHL,15.56
ARG,PER,53.76
ARG,PRY,25.30
ARG,URY,12.81
ARM,AZE,12.53
ARM,GEO,17.00
ARM,IRN,21.59
ARM,MDA,31.62
ARM,TUR,39.82
ASM,COK,22.83
ASM,FJI,20.00
ASM,KIR,46.84
ASM,TON,22.14
ASM,WSM,5.00
ATG,BMU,62.97
ATG,BRB,25.71
ATG,DMA,13.04
ATG,IRL,126.59
ATG,KNA,5.00
ATG,PRT,99.08
ATG,VGB,14.87
ATG,VIR,11.18
AUS,FJI,71.02
AUS,IDN,82.88
AUS,MUS,203.16
AUS,NZL,56.36
AUS,PNG,60.75
AUS,TLS,44.29
AUS,VUT,65.80
AUT,CZE,34.37
AUT,HRV,34.37
AUT,HUN,24.33
AUT,LIE,43.60
AUT,SVK,36.80
AUT,SVN,28.86
AUT,DEU,40.80
AZE,GEO,15.56
AZE,IRN,27.66
AZE,TKM,15.00
AZE,UZB,24.60
BDI,COD,9.49
BDI,MWI,14.87
BDI,RWA,7.07
BDI,TZA,10.20
BDI,ZMB,13.42
BEL,FRA,40.02
BEL,GBR,32.56
BEL,LUX,18.44
BEL,NLD,41.76
BEL,DEU,47.27
BEN,BFA,18.03
BEN,DZA,18.03
BEN,NER,21.21
BEN,NGA,19.65
BEN,STP,27.59
BEN,TGO,6.40
BEN,TUN,16.76
BFA,CIV,12.04
BFA,DZA,11.40
BFA,GHA,10.44
BFA,MLI,8.06
BFA,TGO,15.62
BGD,BTN,8.54
BGD,IND,19.03
BGD,LKA,41.63
BGD,MMR,14.56
BGD,NPL,15.23
BGR,CYP,26.83
BGR,LBN,31.14
BGR,MKD,30.23
BGR,ROU,34.53
BGR,SRB,24.35
BGR,SYR,33.11
BGR,TUR,37.12
BHR,IRQ,11.18
BHR,KWT,7.28
BHR,QAT,2.00
BHS,BLZ,58.73
BHS,BMU,32.89
BHS,CUB,20.88
BHS,MEX,70.83
BHS,USA,75.66
BHS,NFL,72.37
BIH,HRV,16.28
BIH,MNE,10.44
BIH,SMR,24.74
BIH,SRB,21.95
BLR,EST,32.76
BLR,LTU,26.08
BLR,MDA,48.66
BLR,POL,41.05
BLR,RUS,48.51
BLR,SVK,47.51
BLR,UKR,39.41
BLZ,CUB,51.43
BLZ,CYM,22.56
BLZ,GTM,6.40
BLZ,HND,17.20
BLZ,MEX,39.62
BLZ,SLV,15.81
BMU,CUB,39.82
BMU,IRL,114.56
BMU,ISL,118.22
BMU,VGB,50.22
BMU,NFL,75.00
BOL,BRA,19.42
BOL,GUY,31.02
BOL,PER,26.91
BOL,PRY,10.30
BOL,SUR,30.36
BRA,CPV,87.32
BRA,GNB,113.89
BRA,PRY,19.10
BRA,SLE,123.00
BRA,SUR,26.93
BRA,URY,31.38
BRB,CPV,86.12
BRB,DMA,13.00
BRB,GRD,14.87
BRB,LCA,6.71
BRB,PRT,97.42
BRB,SUR,37.05
BRB,TTO,21.47
BRB,VCT,9.22
BRN,IDN,18.79
BRN,PLW,59.46
BRN,SGP,28.16
BRN,TLS,46.67
BRN,NBO,11.18
BTN,CHN,40.46
BTN,KGZ,48.55
BTN,MMR,16.28
BTN,NPL,17.12
BTN,TJK,41.87
BWA,LSO,19.31
BWA,NAM,8.54
BWA,SWZ,18.03
BWA,ZAF,21.21
BWA,ZMB,13.15
BWA,ZWE,11.18
CAF,CMR,11.18
CAF,COG,12.65
CAF,RWA,18.36
CAF,SDN,24.21
CAF,TCD,9.49
CAF,UGA,17.00
CAN,USA,44.01
CAN,NFL,51.97
CHE,FRA,41.23
CHE,ITA,42.44
CHE,LIE,14.56
CHE,MCO,42.30
CHE,SAA,32.57
CHL,CRI,114.97
CHL,ECU,69.23
CHL,PER,62.29
CHN,HKG,53.71
